AccountDate,OrganizationName,DepartmentGroupName,ScenarioName,AccountCode,Amount,Date
2012-11-28,Canadian Division,Corporate,Actual,1110,1235777.14,00:00.0
2012-03-30,Canadian Division,Corporate,Actual,3550,1234465.98,00:00.0
2012-11-28,Canadian Division,Corporate,Actual,1130,1231120.99,00:00.0
2013-03-30,Canadian Division,Corporate,Actual,3550,1228679.3,00:00.0
2012-06-30,Southwest Division,Corporate,Actual,3550,1224040,00:00.0
2011-11-29,Canadian Division,Corporate,Actual,3550,1221152.92,00:00.0
2012-09-28,Southeast Division,Corporate,Actual,1162,1214948,00:00.0
2011-07-01,Southeast Division,Corporate,Actual,3020,1212750,00:00.0
2012-10-28,Canadian Division,Corporate,Actual,1110,1211393.35,00:00.0
2012-01-29,Canadian Division,Corporate,Actual,4200,1210750.91,00:00.0
2011-08-01,Southeast Division,Corporate,Actual,1162,1209727,00:00.0
2013-02-28,Central Division,Corporate,Actual,3020,1209261,00:00.0
2013-10-29,Canadian Division,Corporate,Actual,1130,1208252.38,00:00.0
2011-12-29,Central Division,Corporate,Actual,3540,1202401.8,00:00.0
2012-09-28,Central Division,Corporate,Actual,3550,1197871,00:00.0
2013-03-30,Southwest Division,Corporate,Actual,3020,1196920,00:00.0
2012-03-30,Southwest Division,Corporate,Actual,3020,1195398,00:00.0
2013-07-31,Southwest Division,Corporate,Actual,1110,1193775,00:00.0
2013-09-29,Canadian Division,Corporate,Actual,1130,1192624.82,00:00.0
2012-12-28,Southeast Division,Corporate,Actual,1164,1191867,00:00.0
2013-04-30,Southwest Division,Corporate,Actual,1130,1189422,00:00.0
2012-06-30,Canadian Division,Corporate,Actual,1130,1185344.38,00:00.0
2012-09-28,Canadian Division,Corporate,Actual,1110,1180806.42,00:00.0
2011-12-29,Canadian Division,Corporate,Actual,4200,1178541.22,00:00.0
2013-11-29,Northwest Division,Corporate,Actual,3550,1175555,00:00.0
2013-07-31,Canadian Division,Corporate,Actual,1130,1169572.87,00:00.0
2011-09-29,Southeast Division,Corporate,Actual,3020,1168871,00:00.0
2013-07-31,Southeast Division,Corporate,Actual,1164,1167738,00:00.0
2011-03-01,Southwest Division,Corporate,Actual,3020,1163318,00:00.0
2013-03-30,Southwest Division,Corporate,Actual,1130,1163267,00:00.0
2011-01-29,Canadian Division,Corporate,Actual,3020,1155168.08,00:00.0
2011-03-31,Canadian Division,Corporate,Actual,3020,1152033.05,00:00.0
2013-05-30,Southwest Division,Corporate,Actual,1130,1151166,00:00.0
2012-11-28,Southeast Division,Corporate,Actual,1162,1137408,00:00.0
2012-04-30,Southwest Division,Corporate,Actual,1130,1135823,00:00.0
2013-10-29,France,Corporate,Actual,1110,1130613.32,00:00.0
2011-05-01,Canadian Division,Corporate,Actual,1110,1130546.39,00:00.0
2010-12-29,Northeast Division,Corporate,Actual,3020,1117116.89,00:00.0
2011-05-31,Southeast Division,Corporate,Actual,1162,1116030,00:00.0
2012-04-30,Southeast Division,Corporate,Actual,1164,1115146,00:00.0
2013-04-30,Canadian Division,Corporate,Actual,1110,1111023.3,00:00.0
2012-04-30,Southwest Division,Corporate,Actual,3550,1104167,00:00.0
2013-02-28,Central Division,Corporate,Actual,1110,1096304,00:00.0
2013-03-30,Canadian Division,Corporate,Actual,1110,1095982.11,00:00.0
2013-11-29,Australia,Corporate,Actual,3020,1094856.04,00:00.0
2012-01-29,Southwest Division,Corporate,Actual,4200,1092511,00:00.0
2012-03-30,Southeast Division,Corporate,Actual,1162,1086060,00:00.0
2012-02-29,Canadian Division,Corporate,Actual,3550,1084494.47,00:00.0
2013-11-29,Southwest Division,Corporate,Actual,1130,1084175,00:00.0
2012-02-29,Southeast Division,Corporate,Actual,1164,1083237,00:00.0
2012-09-28,Canadian Division,Corporate,Actual,1130,1081980.33,00:00.0
2012-01-29,Central Division,Corporate,Actual,3020,1076351,00:00.0
2013-11-29,Canadian Division,Corporate,Actual,4200,1075340.81,00:00.0
2012-08-28,Central Division,Corporate,Actual,3550,1072000,00:00.0
2013-10-29,Northwest Division,Corporate,Actual,3550,1071758,00:00.0
2011-09-29,Canadian Division,Corporate,Actual,3550,1070253.67,00:00.0
2012-08-28,Canadian Division,Corporate,Actual,1110,1065640.63,00:00.0
2012-07-31,Central Division,Corporate,Actual,3550,1064354,00:00.0
2012-01-29,Northeast Division,Corporate,Actual,3020,1063634,00:00.0
2013-08-29,Southeast Division,Corporate,Actual,1164,1062911,00:00.0
2011-08-01,Southwest Division,Corporate,Actual,3550,1062008,00:00.0
2013-01-28,Canadian Division,Corporate,Actual,4200,1057963.22,00:00.0
2013-08-29,Canadian Division,Corporate,Actual,1130,1057554.12,00:00.0
2013-02-28,Southwest Division,Corporate,Actual,1110,1057277,00:00.0
2013-05-30,Australia,Corporate,Actual,3020,1051559.55,00:00.0
2012-05-30,Southwest Division,Corporate,Actual,1130,1049902,00:00.0
2012-11-28,Southwest Division,Corporate,Actual,1110,1046261,00:00.0
2012-06-30,Southwest Division,Corporate,Actual,1130,1041155,00:00.0
2013-07-31,Southwest Division,Corporate,Actual,1130,1038170,00:00.0
2013-04-30,Australia,Corporate,Actual,3020,1035161.79,00:00.0
2013-02-28,Canadian Division,Corporate,Actual,3550,1034249.32,00:00.0
2012-08-28,Southeast Division,Corporate,Actual,1162,1033750,00:00.0
2012-03-30,Canadian Division,Corporate,Actual,1110,1032941.54,00:00.0
2012-02-29,Canadian Division,Corporate,Actual,4200,1028589.94,00:00.0
2011-05-01,Southwest Division,Corporate,Actual,3020,1016911,00:00.0
2012-07-31,Canadian Division,Corporate,Actual,1130,1016765.48,00:00.0
2013-10-29,Southwest Division,Corporate,Actual,1130,1007057,00:00.0
2012-01-29,Northeast Division,Corporate,Actual,1110,1006243,00:00.0
2013-09-29,Northwest Division,Corporate,Actual,3550,1005345,00:00.0
2013-09-29,Southwest Division,Corporate,Actual,1130,1004210,00:00.0
2013-01-28,Australia,Corporate,Actual,3020,1004155.84,00:00.0
2013-09-29,Canadian Division,Corporate,Actual,1110,1001759.14,00:00.0
2012-02-29,Southwest Division,Corporate,Actual,4200,1000135,00:00.0
2013-11-29,Central Division,Corporate,Actual,3550,999894,00:00.0
2012-02-29,Central Division,Corporate,Actual,3020,998937,00:00.0
2011-12-29,Southeast Division,Corporate,Actual,1164,996355,00:00.0
2011-08-29,Canadian Division,Corporate,Actual,3550,989963.75,00:00.0
2013-08-29,Australia,Corporate,Actual,3020,987605.97,00:00.0
2012-05-30,Southwest Division,Corporate,Actual,1110,987248,00:00.0
2012-07-31,Southeast Division,Corporate,Actual,1164,985000,00:00.0
2013-10-29,Southwest Division,Corporate,Actual,1110,984946,00:00.0
2011-05-31,Canadian Division,Corporate,Actual,3020,983294.07,00:00.0
2013-06-30,Southeast Division,Corporate,Actual,1162,982134,00:00.0
2012-10-28,Southwest Division,Corporate,Actual,4200,979234,00:00.0
2011-05-01,Southeast Division,Corporate,Actual,1164,978385,00:00.0
2012-06-30,Central Division,Corporate,Actual,3550,971486,00:00.0
2011-10-29,Central Division,Corporate,Actual,1110,971221,00:00.0
2012-08-28,Canadian Division,Corporate,Actual,1130,966569.09,00:00.0
2012-01-29,Southwest Division,Corporate,Actual,1130,964416,00:00.0
2013-01-28,France,Corporate,Actual,4200,962958.06,00:00.0
2012-07-31,Southwest Division,Corporate,Actual,3020,961955,00:00.0
2012-07-31,Southwest Division,Corporate,Actual,1130,958881,00:00.0
2013-01-28,Southwest Division,Corporate,Actual,4200,958829,00:00.0
2013-06-30,Southwest Division,Corporate,Actual,1130,956335,00:00.0
2013-01-28,Central Division,Corporate,Actual,3020,955953,00:00.0
2011-12-29,Southeast Division,Corporate,Actual,3540,954914.7,00:00.0
2012-04-30,Southwest Division,Corporate,Actual,4200,954555,00:00.0
2012-11-28,Southwest Division,Corporate,Actual,1130,954551,00:00.0
2012-05-30,Southwest Division,Corporate,Actual,3020,952298,00:00.0
2013-08-29,Southwest Division,Corporate,Actual,1130,947193,00:00.0
2013-03-30,Northwest Division,Corporate,Actual,1130,943993,00:00.0
2012-03-30,Northeast Division,Corporate,Actual,3020,939129,00:00.0
2013-03-30,Southwest Division,Corporate,Actual,3550,936781,00:00.0
2013-03-30,Southwest Division,Corporate,Actual,1110,933491,00:00.0
2012-12-28,Canadian Division,Corporate,Actual,4200,931342.68,00:00.0
2012-04-30,Canadian Division,Corporate,Actual,4200,929368.4,00:00.0
2012-05-30,Central Division,Corporate,Actual,3550,922581,00:00.0
2012-03-30,Central Division,Corporate,Actual,3020,922226,00:00.0
2013-02-28,Northwest Division,Corporate,Actual,1130,920818,00:00.0
2011-10-29,Southeast Division,Corporate,Actual,1164,918306,00:00.0
2011-08-01,Southwest Division,Corporate,Actual,1110,914136,00:00.0
2011-05-31,Southwest Division,Corporate,Actual,1110,912250,00:00.0
2011-05-31,Southwest Division,Corporate,Actual,3020,908665,00:00.0
2012-02-29,Northeast Division,Corporate,Actual,3020,908238,00:00.0
2011-08-29,Canadian Division,Corporate,Actual,1110,908069.52,00:00.0
2013-10-29,Canadian Division,Corporate,Actual,1110,904039.14,00:00.0
2013-10-29,France,Corporate,Actual,3020,901075.78,00:00.0
2013-03-30,Northwest Division,Corporate,Actual,3020,900043,00:00.0
2011-10-29,Canadian Division,Corporate,Actual,1130,900036.03,00:00.0
2013-10-29,Central Division,Corporate,Actual,3550,895602,00:00.0
2013-10-29,France,Corporate,Actual,3550,893390.78,00:00.0
2011-05-31,Southwest Division,Corporate,Budget,4200,891700,00:00.0
2012-05-30,Canadian Division,Corporate,Actual,4200,891561.63,00:00.0
2011-03-01,Canadian Division,Corporate,Actual,3020,888788.85,00:00.0
2013-05-30,Southwest Division,Corporate,Actual,1110,885478,00:00.0
2013-01-28,Northwest Division,Corporate,Actual,1110,884799,00:00.0
2012-07-31,Canadian Division,Corporate,Actual,1110,879194.74,00:00.0
2013-09-29,Southwest Division,Corporate,Actual,1110,878180,00:00.0
2013-11-29,Southwest Division,Corporate,Actual,1110,877735,00:00.0
2013-08-29,Northwest Division,Corporate,Actual,3550,877520,00:00.0
2012-02-29,Northeast Division,Corporate,Actual,1130,873346,00:00.0
2013-02-28,Northwest Division,Corporate,Actual,3020,870766,00:00.0
2011-11-29,Southeast Division,Corporate,Actual,1162,870667,00:00.0
2013-07-31,France,Corporate,Actual,1110,869071.21,00:00.0
2012-01-29,France,Corporate,Actual,3020,868287.32,00:00.0
2012-05-30,Southeast Division,Corporate,Actual,1164,859957,00:00.0
2011-05-31,Canadian Division,Corporate,Actual,1130,856968.56,00:00.0
2012-12-28,Southwest Division,Corporate,Actual,4200,855751,00:00.0
2012-11-28,Southeast Division,Corporate,Actual,1164,854054,00:00.0
2012-10-28,Canadian Division,Corporate,Actual,4200,851739.68,00:00.0
2012-10-28,Southwest Division,Corporate,Actual,1130,850498,00:00.0
2013-08-29,Central Division,Corporate,Actual,3550,845348,00:00.0
2013-08-29,Canadian Division,Corporate,Actual,4200,845000.16,00:00.0
2011-05-01,Southeast Division,Corporate,Actual,1110,844715,00:00.0
2012-03-30,Northeast Division,Corporate,Actual,1130,844659,00:00.0
2011-11-29,Central Division,Corporate,Actual,3550,842611,00:00.0
2011-05-31,Southwest Division,Corporate,Actual,3550,840528,00:00.0
2011-10-29,Canadian Division,Corporate,Actual,1110,838106.09,00:00.0
2011-11-29,Canadian Division,Corporate,Actual,1130,838100.03,00:00.0
2011-08-01,Southeast Division,Corporate,Actual,1164,836918,00:00.0
2013-03-30,Southeast Division,Corporate,Actual,1164,835735,00:00.0
2011-08-01,Canadian Division,Corporate,Actual,3550,833914.89,00:00.0
2013-09-29,Northwest Division,Corporate,Actual,1110,832941,00:00.0
2013-09-29,Southeast Division,Corporate,Actual,1164,832857,00:00.0
2013-11-29,Northwest Division,Corporate,Actual,1130,831114,00:00.0
2011-09-29,Canadian Division,Corporate,Actual,1130,829313.5,00:00.0
2012-03-30,Central Division,Corporate,Actual,1130,827984,00:00.0
2013-09-29,Central Division,Corporate,Actual,3550,827938,00:00.0
2012-07-31,Southwest Division,Corporate,Actual,4200,826426,00:00.0
2013-04-30,France,Corporate,Actual,4200,821935.22,00:00.0
2013-07-31,Central Division,Corporate,Actual,3550,820976,00:00.0
2013-02-28,Northwest Division,Corporate,Actual,1110,820595,00:00.0
2013-11-29,France,Corporate,Actual,3550,817472.95,00:00.0
2011-03-01,Southwest Division,Corporate,Actual,1110,816079,00:00.0
2011-05-01,Southwest Division,Corporate,Actual,1110,814129,00:00.0
2013-04-30,Northwest Division,Corporate,Actual,1130,813733,00:00.0
2011-05-01,Southwest Division,Corporate,Budget,4200,813400,00:00.0
2011-08-29,Southeast Division,Corporate,Actual,1162,812721,00:00.0
2012-04-30,Central Division,Corporate,Actual,3550,812338,00:00.0
2012-02-29,Central Division,Corporate,Actual,1110,812279,00:00.0
2011-07-01,Southwest Division,Corporate,Actual,1130,811350,00:00.0
