Date,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
11/02/2005,6,Friday,Viernes,Vendredi,11,42,7,February,Febrero,Février,2,1,2005,1,3,2005,2
12/02/2005,7,Saturday,Sábado,Samedi,12,43,7,February,Febrero,Février,2,1,2005,1,3,2005,2
13/02/2005,1,Sunday,Domingo,Dimanche,13,44,8,February,Febrero,Février,2,1,2005,1,3,2005,2
14/02/2005,2,Monday,Lunes,Lundi,14,45,8,February,Febrero,Février,2,1,2005,1,3,2005,2
15/02/2005,3,Tuesday,Martes,Mardi,15,46,8,February,Febrero,Février,2,1,2005,1,3,2005,2
16/02/2005,4,Wednesday,Miércoles,Mercredi,16,47,8,February,Febrero,Février,2,1,2005,1,3,2005,2
17/02/2005,5,Thursday,Jueves,Jeudi,17,48,8,February,Febrero,Février,2,1,2005,1,3,2005,2
18/02/2005,6,Friday,Viernes,Vendredi,18,49,8,February,Febrero,Février,2,1,2005,1,3,2005,2
19/02/2005,7,Saturday,Sábado,Samedi,19,50,8,February,Febrero,Février,2,1,2005,1,3,2005,2
20/02/2005,1,Sunday,Domingo,Dimanche,20,51,9,February,Febrero,Février,2,1,2005,1,3,2005,2
21/02/2005,2,Monday,Lunes,Lundi,21,52,9,February,Febrero,Février,2,1,2005,1,3,2005,2
22/02/2005,3,Tuesday,Martes,Mardi,22,53,9,February,Febrero,Février,2,1,2005,1,3,2005,2
23/02/2005,4,Wednesday,Miércoles,Mercredi,23,54,9,February,Febrero,Février,2,1,2005,1,3,2005,2
24/02/2005,5,Thursday,Jueves,Jeudi,24,55,9,February,Febrero,Février,2,1,2005,1,3,2005,2
25/02/2005,6,Friday,Viernes,Vendredi,25,56,9,February,Febrero,Février,2,1,2005,1,3,2005,2
26/02/2005,7,Saturday,Sábado,Samedi,26,57,9,February,Febrero,Février,2,1,2005,1,3,2005,2
27/02/2005,1,Sunday,Domingo,Dimanche,27,58,10,February,Febrero,Février,2,1,2005,1,3,2005,2
28/02/2005,2,Monday,Lunes,Lundi,28,59,10,February,Febrero,Février,2,1,2005,1,3,2005,2
01/03/2005,3,Tuesday,Martes,Mardi,1,60,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
02/03/2005,4,Wednesday,Miércoles,Mercredi,2,61,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
03/03/2005,5,Thursday,Jueves,Jeudi,3,62,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
04/03/2005,6,Friday,Viernes,Vendredi,4,63,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
05/03/2005,7,Saturday,Sábado,Samedi,5,64,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
06/03/2005,1,Sunday,Domingo,Dimanche,6,65,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
07/03/2005,2,Monday,Lunes,Lundi,7,66,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
08/03/2005,3,Tuesday,Martes,Mardi,8,67,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
09/03/2005,4,Wednesday,Miércoles,Mercredi,9,68,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
10/03/2005,5,Thursday,Jueves,Jeudi,10,69,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
11/03/2005,6,Friday,Viernes,Vendredi,11,70,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
12/03/2005,7,Saturday,Sábado,Samedi,12,71,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
13/03/2005,1,Sunday,Domingo,Dimanche,13,72,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
14/03/2005,2,Monday,Lunes,Lundi,14,73,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
15/03/2005,3,Tuesday,Martes,Mardi,15,74,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
16/03/2005,4,Wednesday,Miércoles,Mercredi,16,75,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
17/03/2005,5,Thursday,Jueves,Jeudi,17,76,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
18/03/2005,6,Friday,Viernes,Vendredi,18,77,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
19/03/2005,7,Saturday,Sábado,Samedi,19,78,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20/03/2005,1,Sunday,Domingo,Dimanche,20,79,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
21/03/2005,2,Monday,Lunes,Lundi,21,80,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
22/03/2005,3,Tuesday,Martes,Mardi,22,81,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
23/03/2005,4,Wednesday,Miércoles,Mercredi,23,82,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
24/03/2005,5,Thursday,Jueves,Jeudi,24,83,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
25/03/2005,6,Friday,Viernes,Vendredi,25,84,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
26/03/2005,7,Saturday,Sábado,Samedi,26,85,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
27/03/2005,1,Sunday,Domingo,Dimanche,27,86,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
28/03/2005,2,Monday,Lunes,Lundi,28,87,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
29/03/2005,3,Tuesday,Martes,Mardi,29,88,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
30/03/2005,4,Wednesday,Miércoles,Mercredi,30,89,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
31/03/2005,5,Thursday,Jueves,Jeudi,31,90,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
01/04/2005,6,Friday,Viernes,Vendredi,1,91,14,April,Abril,Avril,4,2,2005,1,4,2005,2
02/04/2005,7,Saturday,Sábado,Samedi,2,92,14,April,Abril,Avril,4,2,2005,1,4,2005,2
03/04/2005,1,Sunday,Domingo,Dimanche,3,93,15,April,Abril,Avril,4,2,2005,1,4,2005,2
04/04/2005,2,Monday,Lunes,Lundi,4,94,15,April,Abril,Avril,4,2,2005,1,4,2005,2
05/04/2005,3,Tuesday,Martes,Mardi,5,95,15,April,Abril,Avril,4,2,2005,1,4,2005,2
06/04/2005,4,Wednesday,Miércoles,Mercredi,6,96,15,April,Abril,Avril,4,2,2005,1,4,2005,2
07/04/2005,5,Thursday,Jueves,Jeudi,7,97,15,April,Abril,Avril,4,2,2005,1,4,2005,2
08/04/2005,6,Friday,Viernes,Vendredi,8,98,15,April,Abril,Avril,4,2,2005,1,4,2005,2
09/04/2005,7,Saturday,Sábado,Samedi,9,99,15,April,Abril,Avril,4,2,2005,1,4,2005,2
10/04/2005,1,Sunday,Domingo,Dimanche,10,100,16,April,Abril,Avril,4,2,2005,1,4,2005,2
11/04/2005,2,Monday,Lunes,Lundi,11,101,16,April,Abril,Avril,4,2,2005,1,4,2005,2
12/04/2005,3,Tuesday,Martes,Mardi,12,102,16,April,Abril,Avril,4,2,2005,1,4,2005,2
13/04/2005,4,Wednesday,Miércoles,Mercredi,13,103,16,April,Abril,Avril,4,2,2005,1,4,2005,2
14/04/2005,5,Thursday,Jueves,Jeudi,14,104,16,April,Abril,Avril,4,2,2005,1,4,2005,2
15/04/2005,6,Friday,Viernes,Vendredi,15,105,16,April,Abril,Avril,4,2,2005,1,4,2005,2
16/04/2005,7,Saturday,Sábado,Samedi,16,106,16,April,Abril,Avril,4,2,2005,1,4,2005,2
17/04/2005,1,Sunday,Domingo,Dimanche,17,107,17,April,Abril,Avril,4,2,2005,1,4,2005,2
18/04/2005,2,Monday,Lunes,Lundi,18,108,17,April,Abril,Avril,4,2,2005,1,4,2005,2
19/04/2005,3,Tuesday,Martes,Mardi,19,109,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20/04/2005,4,Wednesday,Miércoles,Mercredi,20,110,17,April,Abril,Avril,4,2,2005,1,4,2005,2
21/04/2005,5,Thursday,Jueves,Jeudi,21,111,17,April,Abril,Avril,4,2,2005,1,4,2005,2
22/04/2005,6,Friday,Viernes,Vendredi,22,112,17,April,Abril,Avril,4,2,2005,1,4,2005,2
23/04/2005,7,Saturday,Sábado,Samedi,23,113,17,April,Abril,Avril,4,2,2005,1,4,2005,2
24/04/2005,1,Sunday,Domingo,Dimanche,24,114,18,April,Abril,Avril,4,2,2005,1,4,2005,2
25/04/2005,2,Monday,Lunes,Lundi,25,115,18,April,Abril,Avril,4,2,2005,1,4,2005,2
26/04/2005,3,Tuesday,Martes,Mardi,26,116,18,April,Abril,Avril,4,2,2005,1,4,2005,2
27/04/2005,4,Wednesday,Miércoles,Mercredi,27,117,18,April,Abril,Avril,4,2,2005,1,4,2005,2
28/04/2005,5,Thursday,Jueves,Jeudi,28,118,18,April,Abril,Avril,4,2,2005,1,4,2005,2
29/04/2005,6,Friday,Viernes,Vendredi,29,119,18,April,Abril,Avril,4,2,2005,1,4,2005,2
30/04/2005,7,Saturday,Sábado,Samedi,30,120,18,April,Abril,Avril,4,2,2005,1,4,2005,2
01/05/2005,1,Sunday,Domingo,Dimanche,1,121,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
02/05/2005,2,Monday,Lunes,Lundi,2,122,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
03/05/2005,3,Tuesday,Martes,Mardi,3,123,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
04/05/2005,4,Wednesday,Miércoles,Mercredi,4,124,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
05/05/2005,5,Thursday,Jueves,Jeudi,5,125,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
06/05/2005,6,Friday,Viernes,Vendredi,6,126,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
07/05/2005,7,Saturday,Sábado,Samedi,7,127,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
08/05/2005,1,Sunday,Domingo,Dimanche,8,128,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
09/05/2005,2,Monday,Lunes,Lundi,9,129,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
10/05/2005,3,Tuesday,Martes,Mardi,10,130,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
11/05/2005,4,Wednesday,Miércoles,Mercredi,11,131,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
12/05/2005,5,Thursday,Jueves,Jeudi,12,132,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
13/05/2005,6,Friday,Viernes,Vendredi,13,133,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
14/05/2005,7,Saturday,Sábado,Samedi,14,134,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
15/05/2005,1,Sunday,Domingo,Dimanche,15,135,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
16/05/2005,2,Monday,Lunes,Lundi,16,136,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
17/05/2005,3,Tuesday,Martes,Mardi,17,137,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
18/05/2005,4,Wednesday,Miércoles,Mercredi,18,138,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
19/05/2005,5,Thursday,Jueves,Jeudi,19,139,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20/05/2005,6,Friday,Viernes,Vendredi,20,140,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
21/05/2005,7,Saturday,Sábado,Samedi,21,141,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
22/05/2005,1,Sunday,Domingo,Dimanche,22,142,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
23/05/2005,2,Monday,Lunes,Lundi,23,143,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
24/05/2005,3,Tuesday,Martes,Mardi,24,144,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
25/05/2005,4,Wednesday,Miércoles,Mercredi,25,145,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
26/05/2005,5,Thursday,Jueves,Jeudi,26,146,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
27/05/2005,6,Friday,Viernes,Vendredi,27,147,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
28/05/2005,7,Saturday,Sábado,Samedi,28,148,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
29/05/2005,1,Sunday,Domingo,Dimanche,29,149,23,May,Mayo,Mai,5,2,2005,1,4,2005,2
30/05/2005,2,Monday,Lunes,Lundi,30,150,23,May,Mayo,Mai,5,2,2005,1,4,2005,2
31/05/2005,3,Tuesday,Martes,Mardi,31,151,23,May,Mayo,Mai,5,2,2005,1,4,2005,2
01/06/2005,4,Wednesday,Miércoles,Mercredi,1,152,23,June,Junio,Juin,6,2,2005,1,4,2005,2
02/06/2005,5,Thursday,Jueves,Jeudi,2,153,23,June,Junio,Juin,6,2,2005,1,4,2005,2
03/06/2005,6,Friday,Viernes,Vendredi,3,154,23,June,Junio,Juin,6,2,2005,1,4,2005,2
04/06/2005,7,Saturday,Sábado,Samedi,4,155,23,June,Junio,Juin,6,2,2005,1,4,2005,2
05/06/2005,1,Sunday,Domingo,Dimanche,5,156,24,June,Junio,Juin,6,2,2005,1,4,2005,2
06/06/2005,2,Monday,Lunes,Lundi,6,157,24,June,Junio,Juin,6,2,2005,1,4,2005,2
07/06/2005,3,Tuesday,Martes,Mardi,7,158,24,June,Junio,Juin,6,2,2005,1,4,2005,2
08/06/2005,4,Wednesday,Miércoles,Mercredi,8,159,24,June,Junio,Juin,6,2,2005,1,4,2005,2
09/06/2005,5,Thursday,Jueves,Jeudi,9,160,24,June,Junio,Juin,6,2,2005,1,4,2005,2
10/06/2005,6,Friday,Viernes,Vendredi,10,161,24,June,Junio,Juin,6,2,2005,1,4,2005,2
11/06/2005,7,Saturday,Sábado,Samedi,11,162,24,June,Junio,Juin,6,2,2005,1,4,2005,2
12/06/2005,1,Sunday,Domingo,Dimanche,12,163,25,June,Junio,Juin,6,2,2005,1,4,2005,2
13/06/2005,2,Monday,Lunes,Lundi,13,164,25,June,Junio,Juin,6,2,2005,1,4,2005,2
14/06/2005,3,Tuesday,Martes,Mardi,14,165,25,June,Junio,Juin,6,2,2005,1,4,2005,2
15/06/2005,4,Wednesday,Miércoles,Mercredi,15,166,25,June,Junio,Juin,6,2,2005,1,4,2005,2
16/06/2005,5,Thursday,Jueves,Jeudi,16,167,25,June,Junio,Juin,6,2,2005,1,4,2005,2
17/06/2005,6,Friday,Viernes,Vendredi,17,168,25,June,Junio,Juin,6,2,2005,1,4,2005,2
18/06/2005,7,Saturday,Sábado,Samedi,18,169,25,June,Junio,Juin,6,2,2005,1,4,2005,2
19/06/2005,1,Sunday,Domingo,Dimanche,19,170,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20/06/2005,2,Monday,Lunes,Lundi,20,171,26,June,Junio,Juin,6,2,2005,1,4,2005,2
21/06/2005,3,Tuesday,Martes,Mardi,21,172,26,June,Junio,Juin,6,2,2005,1,4,2005,2
22/06/2005,4,Wednesday,Miércoles,Mercredi,22,173,26,June,Junio,Juin,6,2,2005,1,4,2005,2
23/06/2005,5,Thursday,Jueves,Jeudi,23,174,26,June,Junio,Juin,6,2,2005,1,4,2005,2
24/06/2005,6,Friday,Viernes,Vendredi,24,175,26,June,Junio,Juin,6,2,2005,1,4,2005,2
25/06/2005,7,Saturday,Sábado,Samedi,25,176,26,June,Junio,Juin,6,2,2005,1,4,2005,2
26/06/2005,1,Sunday,Domingo,Dimanche,26,177,27,June,Junio,Juin,6,2,2005,1,4,2005,2
27/06/2005,2,Monday,Lunes,Lundi,27,178,27,June,Junio,Juin,6,2,2005,1,4,2005,2
28/06/2005,3,Tuesday,Martes,Mardi,28,179,27,June,Junio,Juin,6,2,2005,1,4,2005,2
29/06/2005,4,Wednesday,Miércoles,Mercredi,29,180,27,June,Junio,Juin,6,2,2005,1,4,2005,2
30/06/2005,5,Thursday,Jueves,Jeudi,30,181,27,June,Junio,Juin,6,2,2005,1,4,2005,2
01/07/2005,6,Friday,Viernes,Vendredi,1,182,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
02/07/2005,7,Saturday,Sábado,Samedi,2,183,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
03/07/2005,1,Sunday,Domingo,Dimanche,3,184,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
04/07/2005,2,Monday,Lunes,Lundi,4,185,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
05/07/2005,3,Tuesday,Martes,Mardi,5,186,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
06/07/2005,4,Wednesday,Miércoles,Mercredi,6,187,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
07/07/2005,5,Thursday,Jueves,Jeudi,7,188,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
08/07/2005,6,Friday,Viernes,Vendredi,8,189,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
09/07/2005,7,Saturday,Sábado,Samedi,9,190,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
10/07/2005,1,Sunday,Domingo,Dimanche,10,191,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
11/07/2005,2,Monday,Lunes,Lundi,11,192,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
12/07/2005,3,Tuesday,Martes,Mardi,12,193,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
13/07/2005,4,Wednesday,Miércoles,Mercredi,13,194,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
14/07/2005,5,Thursday,Jueves,Jeudi,14,195,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
15/07/2005,6,Friday,Viernes,Vendredi,15,196,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
16/07/2005,7,Saturday,Sábado,Samedi,16,197,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
17/07/2005,1,Sunday,Domingo,Dimanche,17,198,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
18/07/2005,2,Monday,Lunes,Lundi,18,199,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
19/07/2005,3,Tuesday,Martes,Mardi,19,200,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20/07/2005,4,Wednesday,Miércoles,Mercredi,20,201,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
21/07/2005,5,Thursday,Jueves,Jeudi,21,202,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
22/07/2005,6,Friday,Viernes,Vendredi,22,203,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
23/07/2005,7,Saturday,Sábado,Samedi,23,204,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
24/07/2005,1,Sunday,Domingo,Dimanche,24,205,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
25/07/2005,2,Monday,Lunes,Lundi,25,206,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
26/07/2005,3,Tuesday,Martes,Mardi,26,207,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
27/07/2005,4,Wednesday,Miércoles,Mercredi,27,208,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
28/07/2005,5,Thursday,Jueves,Jeudi,28,209,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
29/07/2005,6,Friday,Viernes,Vendredi,29,210,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
30/07/2005,7,Saturday,Sábado,Samedi,30,211,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
31/07/2005,1,Sunday,Domingo,Dimanche,31,212,32,July,Julio,Juillet,7,3,2005,2,1,2006,1
01/08/2005,2,Monday,Lunes,Lundi,1,213,32,August,Agosto,Août,8,3,2005,2,1,2006,1
02/08/2005,3,Tuesday,Martes,Mardi,2,214,32,August,Agosto,Août,8,3,2005,2,1,2006,1
03/08/2005,4,Wednesday,Miércoles,Mercredi,3,215,32,August,Agosto,Août,8,3,2005,2,1,2006,1
04/08/2005,5,Thursday,Jueves,Jeudi,4,216,32,August,Agosto,Août,8,3,2005,2,1,2006,1
05/08/2005,6,Friday,Viernes,Vendredi,5,217,32,August,Agosto,Août,8,3,2005,2,1,2006,1
06/08/2005,7,Saturday,Sábado,Samedi,6,218,32,August,Agosto,Août,8,3,2005,2,1,2006,1
07/08/2005,1,Sunday,Domingo,Dimanche,7,219,33,August,Agosto,Août,8,3,2005,2,1,2006,1
08/08/2005,2,Monday,Lunes,Lundi,8,220,33,August,Agosto,Août,8,3,2005,2,1,2006,1
09/08/2005,3,Tuesday,Martes,Mardi,9,221,33,August,Agosto,Août,8,3,2005,2,1,2006,1
10/08/2005,4,Wednesday,Miércoles,Mercredi,10,222,33,August,Agosto,Août,8,3,2005,2,1,2006,1
11/08/2005,5,Thursday,Jueves,Jeudi,11,223,33,August,Agosto,Août,8,3,2005,2,1,2006,1
12/08/2005,6,Friday,Viernes,Vendredi,12,224,33,August,Agosto,Août,8,3,2005,2,1,2006,1
13/08/2005,7,Saturday,Sábado,Samedi,13,225,33,August,Agosto,Août,8,3,2005,2,1,2006,1
14/08/2005,1,Sunday,Domingo,Dimanche,14,226,34,August,Agosto,Août,8,3,2005,2,1,2006,1
15/08/2005,2,Monday,Lunes,Lundi,15,227,34,August,Agosto,Août,8,3,2005,2,1,2006,1
16/08/2005,3,Tuesday,Martes,Mardi,16,228,34,August,Agosto,Août,8,3,2005,2,1,2006,1
17/08/2005,4,Wednesday,Miércoles,Mercredi,17,229,34,August,Agosto,Août,8,3,2005,2,1,2006,1
18/08/2005,5,Thursday,Jueves,Jeudi,18,230,34,August,Agosto,Août,8,3,2005,2,1,2006,1
19/08/2005,6,Friday,Viernes,Vendredi,19,231,34,August,Agosto,Août,8,3,2005,2,1,2006,1
20/08/2005,7,Saturday,Sábado,Samedi,20,232,34,August,Agosto,Août,8,3,2005,2,1,2006,1
21/08/2005,1,Sunday,Domingo,Dimanche,21,233,35,August,Agosto,Août,8,3,2005,2,1,2006,1
22/08/2005,2,Monday,Lunes,Lundi,22,234,35,August,Agosto,Août,8,3,2005,2,1,2006,1
23/08/2005,3,Tuesday,Martes,Mardi,23,235,35,August,Agosto,Août,8,3,2005,2,1,2006,1
24/08/2005,4,Wednesday,Miércoles,Mercredi,24,236,35,August,Agosto,Août,8,3,2005,2,1,2006,1
25/08/2005,5,Thursday,Jueves,Jeudi,25,237,35,August,Agosto,Août,8,3,2005,2,1,2006,1
26/08/2005,6,Friday,Viernes,Vendredi,26,238,35,August,Agosto,Août,8,3,2005,2,1,2006,1
27/08/2005,7,Saturday,Sábado,Samedi,27,239,35,August,Agosto,Août,8,3,2005,2,1,2006,1
